Name,B,F,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
Gliese 795,,,OQ,196795.0,101955.0,20h 39m 37.71s,+04° 58′ 19.3″,7.84,,54.52,K5V,"triple star; BY Dra variable, ΔV = 0.04m",,,,,,,,,False
V Del,,,V,198136.0,,20h 47m 46.04s,+19° 20′ 06.9″,8.1,,,M6e:,"Mira variable, Vmax = 8.1m, Vmin = 17.0m, P = 527 d",,,,,,,,,False
DM Del,,,DM,,,20h 39m 37.01s,+14° 25′ 43.1″,8.65,,,A2V,"β Lyr variable, Vmax = 8.58m, Vmin = 9.11m, P = 0.8446725 d",,,,,,,,,False
LS Del,,,LS,199497.0,,20h 57m 10.29s,+19° 38′ 55.2″,8.72,,256.5,G5,"W UMa variable, Vmax = 8.61m, Vmin = 8.76m, P = 0.363842 d",,,,,,,,,False
MR Del,,,MR,195434.0,101236.0,20h 31m 13.46s,+05° 13′ 08.5″,8.77,,158.3,K0,"Algol and BY Dra variable, Vmax = 8.71m, Vmin = 9.01m, P = 0.521692 d",,,,,,,,,False
TX Del,,,TX,,102853.0,20h 50m 12.69s,+03° 39′ 08.4″,8.86,,,F8,"BL Her variable, Vmax = 8.86m, Vmin = 9.51m, P = 6.165907 d",,,,,,,,,False
DX Del,,,DX,,102593.0,20h 47m 28.36s,+12° 27′ 50.7″,9.56,,4200.0,A7IIIv,"RR Lyr variable, Vmax = 9.558m, Vmin = 10.291m, P = 0.4726191 d",,,,,,,,,False
W Del,,,W,352682.0,101780.0,20h 37m 40.09s,+18° 17′ 03.8″,9.81,,2200.0,A0Ve,"Algol variable, Vmax = 9.69m, Vmin = 12.33m, P = 4.8061 d",,,,,,,,,False
TY Del,,,TY,,,21h 04m 21.98s,+13° 12′ 53.5″,10.08,,,A0,"Algol variable, Vmax = 9.7m, Vmin = 10.9m, P = 1.19112689 d",,,,,,,,,False
BX Del,,,BX,,,20h 21m 18.97s,+18° 26′ 16.2″,11.99,,,A0,"BL Her variable, Vmax = 11.79m, Vmin = 12.57m, P = 1.091787 d",,,,,,,,,False
HR Del,,,HR,,,20h 42m 20.35s,+19° 09′ 35.3″,12.1,,,A0,"nova, Vmax = 3.6m, Vmin = 12.1m, P = 0.214165 d",,,,,,,,,False
HU Del,,,HU,,,20h 29m 48.34s,+09° 41′ 20.3″,13.04,,29.6,M6.0V+...,flare star,M4.5V,,0.237 M☉,,,,0.3085 days,,False
He 2-467,,,LT,,,20h 35m 57.23s,+20° 11′ 27.5″,13.05,,,G6III,"Z And and rotating ellipsoidal variable, Vmax = 12.0m, Vmin = 13.4m, P = 476 d",,,,,,,,,False
CM Del,,,CM,,,20h 24m 56.93s,+17° 17′ 54.4″,13.4,,,A0,nova-like star,,,,,,,,,False
V339 Del,,,V339,,,20h 29m 30.68s,+20° 46′ 03.8″,16.86,,,,"nova, Vmax = 4.3m, Vmin = 17.6m, P = 1.19112689 d",,,,,,,,,False
