Name,B,F,G.,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
5 Ser,,5,9 Cap,MQ,136202.0,74975,15h 19m 18.58s,+01° 46′ 00.0″,5.04,3.08,81,F8III-IV,MQ Ser; BY Draconis variable,,,,,,,,,,,,,,,F8 IV,6025.0 K,1.16 M☉,,5.0 L☉,4.07 cgs,4.8 km/s,5.27 Gyr,False
b Ser,b,36,30 Cap,,141851.0,77660,15h 51m 15.65s,−03° 05′ 25.5″,5.09,1.65,159,A3Vn,,,,,,,,,,,,,,,,A3Vnor A2IV-Vn(A7 + G0),8213.0 K,1.97 M☉,2.25 R☉,19.13 L☉,3.89 cgs,229.0 km/s,710.0 Myr,False
10 Ser,,10,13 Cap,,137898.0,75761,15h 28m 38.29s,+01° 50′ 31.8″,5.15,2.28,122,A8IV,,,,,,,,,,,,,,,,A6 IIIor A7 IV,7872.0 K,1.64 M☉,,11.9 L☉,4.24 cgs,110.0 km/s,424.0 Myr,False
τ1 Ser,τ1,9,,,137471.0,75530,15h 25m 47.41s,+15° 25′ 41.0″,5.16,−2.09,918,M1III,,,,,,,,,,,,,,,,M1III,3954.0 K,2.3 M☉,99.0 R☉,2158.0 L☉,1.07 cgs,,933.0 Myr,False
R Ser,,,,R,141850.0,77615,15h 50m 41.70s,+15° 08′ 01.0″,5.2,,,,Mira variable,,,,,,,,,,,,,,,M5-8e,3413.0 K,3.6 M☉,79.0 R☉,758.0 L☉,1.55 cgs,,,False
d Ser B,d,59,,,169986.0,,18h 27m 12.20s,+00° 11′ 48.0″,5.2,,,,,,,,,,,,,,,,,,,A0Vs + G:III,5093.0 K,6.32 M☉,13.0 R☉,10.1 L☉,4.28 cgs,,316.0 Myr,False
d Ser,d,59,41 Cau,,169985.0,90441,18h 27m 12.51s,+00° 11′ 46.1″,5.2,−0.63,479,G0III+...,,,,,,,,,,,,,,,,A0Vs + G:III,5093.0 K,6.32 M☉,13.0 R☉,10.1 L☉,4.28 cgs,,316.0 Myr,False
δ Ser B,δ,13,,,138918.0,,15h 34m 48.10s,+10° 32′ 21.0″,4.2,,210,F0IV,,,,,,,,,,,,,,,,A9IV + F0IV,6430.0 K,1.98 M☉,4.6 R☉,76.0 L☉,3.46 cgs,99.0 km/s,1.12 Gyr,True
ω Ser,ω,34,28 Cap,,141680.0,77578,15h 50m 17.53s,+02° 11′ 47.8″,5.21,0.68,263,G8III,has a planet (b),,,,,,,,,,,,,,,G8 III,4797.0 K,1.2 M☉,10.48 R☉,69.0 L☉,2.88 cgs,0.99 km/s,3.94 Gyr,False
16 Ser,,16,,,139195.0,76425,15h 36m 29.55s,+10° 00′ 37.6″,5.26,0.97,235,K0p,,,,,,,,,,,,,,,,K0III: CN1 Ba0.7 Sr2,4946.0 K,1.7 M☉,8.0 R☉,42.7 L☉,2.64 cgs,1.4 km/s,2.4 Gyr,False
