Name,B,F,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
2 Lib,,2,,126035.0,70336.0,14h 23m 25.63s,−11° 42′ 50.0″,6.22,1.19,330.0,G7III,,,,,,,,,,False
10 Lib,,10,,131027.0,72702.0,14h 51m 51.31s,−18° 21′ 19.2″,6.27,−0.97,913.0,K0II/III,,,,,,,,,,False
5 Lib,,5,,129978.0,72194.0,14h 45m 57.78s,−15° 27′ 34.4″,6.33,−1.33,1109.0,K2III,,,,,,,,,,False
22 Lib,,22,,133800.0,73953.0,15h 06m 49.10s,−16° 29′ 03.6″,6.41,0.90,413.0,A1V,,,,,,,,,,False
23 Lib,,23,,134987.0,74500.0,15h 13m 28.93s,−25° 18′ 33.0″,6.45,4.40,84.0,G5V,has two planets (b & c),G5 V,5762.0 K,1.12 M☉,1.25 R☉,,4.3 cgs,2.17 km/s,5.0 Gyr,False
30 Lib,,30,,136801.0,75294.0,15h 23m 01.78s,−15° 08′ 02.7″,6.46,−0.43,780.0,K4III,suspected variable,,,,,,,,,False
17 Lib,,17,,132230.0,73249.0,14h 58m 13.42s,−11° 09′ 17.1″,6.61,1.30,376.0,A1V,,,,,,,,,,False
33 Lib,ζ2,33,GZ,137949.0,75848.0,15h 29m 34.78s,−17° 26′ 27.4″,6.69,1.94,291.0,Ap,"rapidly oscillating Ap star, Vmax = 6.66m, Vmin = 6.71m, P = 4.85 d",F0VspEuGdSr,7543.0 K,1.7 M☉,1.8 R☉,9.7 L☉,4.15 cgs,,977.0 Myr,False
3 Lib,,3,,128756.0,71652.0,14h 39m 22.01s,−25° 01′ 43.0″,7.2,,663.0,K0III,,,,,,,,,,False
FY Lib,,,FY,132112.0,73213.0,14h 57m 46.55s,−12° 26′ 15.3″,7.23,,1310.0,M5III,"semiregular variable, Vmax = 6.5m, Vmin = 7.78m, P = 179.7 d",,,,,,,,,False
KU Lib,,,KU,128987.0,71743.0,14h 40m 31.11s,−16° 12′ 33.4″,7.23,,77.0,G8V,BY Dra variable; member of the α Lib system,F3 V,6707.0 K,1.36 M☉,1.4 R☉,3.55 L☉,4.27 cgs,5.95 km/s,1.01 Gyr,False
ES Lib,,,ES,135681.0,74765.0,15h 16m 48.61s,−13° 02′ 21.1″,7.25,,378.0,A3III,"β Lyr variable, Vmax = 7.1m, Vmin = 7.57m, P = 0.88 d",,,,,,,,,False
HD 136905,,,GX,136905.0,75325.0,15h 23m 26.06s,−06° 36′ 37.8″,7.31,,378.0,G8IVp,"RS CVn variable, ΔV = 0.08m, P = 11.13 d",,,,,,,,,False
HD 134214,,,HI,134214.0,74145.0,15h 09m 02.41s,−13° 59′ 58.7″,7.48,,335.0,Ap...,"rapidly oscillating Ap star, ΔV = 0.007m",,,,,,,,,False
HM Lib,,,HM,137613.0,75694.0,15h 27m 48.32s,−25° 10′ 10.1″,7.54,,1940.0,C,"PV Tel variable, Vmax = 7.42m, Vmin = 7.63m",,,,,,,,,False
UZ Lib,,,UZ,,76086.0,15h 32m 23.21s,−08° 32′ 00.9″,9.12,,525.0,K0III,"RS CVn variable, Vmax = 8.85m, Vmin = 9.62m, P = 4.77 d",,,,,,,,,False
EH Lib,,,EH,,73315.0,14h 58m 55.92s,−00° 56′ 53.1″,9.83,2.00,1197.0,A5V,"δ Sct variable, Vmax = 9.35m, Vmin = 10.08m, P = 0.09 d",,,,,,,,,False
VZ Lib,,,VZ,,76050.0,15h 31m 51.76s,−15° 41′ 10.2″,10.27,,667.0,F5,"W UMa variable, Vmax = 10.13m, Vmin = 10.63m, P = 0.36 d",,,,,,,,,False
Gliese 581,,,HO,,74995.0,15h 19m 26.82s,−07° 43′ 20.2″,10.55,11.57,20.0,M3,"BY Dra variable, Vmax = 10.56m, Vmin = 10.58m; has 3 planets (b, c, e)",M3V,3500.0 K,0.295 M☉,0.302 R☉,68.0 )L☉,4.97 cgs,148.1 d,9.5 Gyr,False
HP Lib,,,HP,,,15h 35m 53.08s,−14° 13′ 12.2″,13.65,,,Bpec,"AM CVn star and V777 Her variable, Vmax = 13.65m, Vmin = 13.8m, P = 0.013 d",,,,,,,,,False
GW Lib,,,GW,,,15h 19m 55.35s,−25° 00′ 24.5″,,,,,WZ Sge variable,,,,,,,,,False
