Name,B,F,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
68 Cyg,A,68.0,V1809,203064.0,105186.0,21h 18m 27.18s,+43° 56′ 45.5″,5.04,,4600,O8e,rotating ellipsoidal variable,O7.5IIIn((f)),34000.0 K,36.0 M☉,15.7 R☉,316000.0 L☉,3.6 cgs,399.0 km/s,,False
74 Cyg,,74.0,,205835.0,106711.0,21h 36m 56.98s,+40° 24′ 48.6″,5.04,1.03,206,A5V,,A3 Vn,7757.0 K,1.83 M☉,3.68 R☉,44.0 L☉,3.57 cgs,201.0 km/s,606.0 Myr,False
26 Cyg,e,26.0,,190147.0,98571.0,20h 01m 21.55s,+50° 06′ 16.8″,5.06,−0.54,429,K1II-III,multiple star,G8 III,4700.0 K,2.44 M☉,22.27 R☉,204.8 L☉,2.5 cgs,3.63 km/s,,False
56 Cyg,,56.0,,198639.0,102843.0,20h 50m 04.83s,+44° 03′ 32.3″,5.06,1.93,138,A4me...,double star,A6 V,8124.0 K,1.72 M☉,,13.19 L☉,4.28 cgs,73.0 km/s,394.0 Myr,False
75 Cyg,,75.0,,206330.0,106999.0,21h 40m 11.06s,+43° 16′ 25.7″,5.09,−0.38,404,M1IIIvar,triple star; variable,M1IIIab,3906.0 K,1.4 M☉,46.0 R☉,442.0 L☉,1.69 cgs,,,False
Albireo B,β2,6.0,,183914.0,95951.0,19h 30m 45.40s,+27° 57′ 55.0″,5.12,−0.19,376,B8V,component of the Albireo system; emission-line star,K2II,4383.0 K,5.2 M☉,58.69 R☉,1259.0 L☉,0.93 cgs,8.34 km/s,100.0 Myr,False
23 Cyg,,23.0,,188665.0,97870.0,19h 53m 17.37s,+57° 31′ 24.5″,5.14,−1.32,638,B5V,,B5 V,14893.0 K,4.7 M☉,4.3 R☉,611.53 L☉,3.82 cgs,145.0 km/s,26.0 Myr,False
35 Cyg,,35.0,,193370.0,100122.0,20h 18m 39.07s,+34° 58′ 58.0″,5.14,−3.80,2000,F5Ib,spectroscopic binary,F6Ib,6360.0 K,10.0 M☉,51.0 R☉,7093.0 L☉,2.4 cgs,3.5 km/s,22.0 Myr,False
25 Cyg,,25.0,V1746,189687.0,98425.0,19h 59m 55.20s,+37° 02′ 34.4″,5.15,−3.27,1575,B3IV,γ Cas variable & β Cep variable; emission-line star,,,,,,,,,False
4 Cyg,,4.0,V1741,183056.0,95556.0,19h 26m 09.12s,+36° 19′ 04.3″,5.17,−1.34,653,B9sp...,spectroscopic binary,B8p Si (Fe II),12190.0 K,4.08 M☉,5.03 R☉,501.0 L☉,,30.0 km/s,145.0 Myr,False
19 Cyg,,19.0,V1509,187849.0,97630.0,19h 50m 33.99s,+38° 43′ 19.8″,5.18,−1.29,642,M2IIIa,variable,,,,,,,,,False
61 Cyg A,,61.0,V1803,201091.0,104214.0,21h 06m 50.84s,+38° 44′ 29.4″,5.20,7.49,11,K5V,Bessel's Star; BY Draconis variable; 14th nearest star system,K5V,4398.0 K,0.6771 M☉,0.667 R☉,0.15 L☉,4.63 cgs,35.54 days,6.1 Gyr,False
71 Cyg,g,71.0,,204771.0,106093.0,21h 29m 26.91s,+46° 32′ 25.2″,5.22,1.04,224,K0III,,K0− III,4983.0 K,2.05 M☉,8.31 R☉,44.7 L☉,3.03 cgs,2.03 km/s,1.07 Gyr,False
70 Cyg,,70.0,,204403.0,105942.0,21h 27m 21.36s,+37° 07′ 00.5″,5.30,−3.38,1772,B3V,,,,,,,,,,False
27 Cyg,b1,27.0,V2008,191026.0,99031.0,20h 06m 21.93s,+35° 58′ 24.7″,5.38,3.46,79,K0IV,RS CVn variable,G8.5 IVa,5108.0 K,1.26 M☉,2.51 R☉,4.07 L☉,3.74 cgs,1.78 km/s,4.34 Gyr,False
60 Cyg,,60.0,V1931,200310.0,103732.0,21h 01m 10.92s,+46° 09′ 20.8″,5.38,−2.73,1364,B1V,eclipsing binary,,,,,,,,,False
9 Cyg,,9.0,,184759.0,96302.0,19h 34m 50.92s,+29° 27′ 46.5″,5.39,−0.70,538,A0V+...,spectroscopic binary,G8 IIIa + A2 V,5047.0 K,2.9 M☉,18.2 R☉,,3.04 cgs,,437.1 Myr,False
14 Cyg,,14.0,,185872.0,96693.0,19h 39m 26.47s,+42° 49′ 05.6″,5.41,−1.20,685,B9III,,,,,,,,,,False
51 Cyg,,51.0,,197511.0,102177.0,20h 42m 12.63s,+50° 20′ 24.1″,5.41,−1.85,924,B2V,multiple star,,,,,,,,,False
49 Cyg,,49.0,,197178.0,102066.0,20h 41m 02.60s,+32° 18′ 28.0″,5.51,−1.45,805,G8IIb,,,,,,,,,,False
ω2 Cyg,ω2,46.0,,195774.0,101243.0,20h 31m 18.81663s,+49° 13′ 13.0656″,5.53,−0.03,399,M2III,Ruchba; suspected member of Hercules stream,M2 III,3920.0 K,1.4 M☉,45.0 R☉,398.0 L☉,2.02 cgs,,,False
49 Cyg,,49.0,,197177.0,102066.0,20h 41m 02.54s,+32° 18′ 26.3″,5.53,−1.43,805,G8IIb,,,,,,,,,,False
V1942 Cyg,,,V1942,209515.0,108845.0,22h 02m 56.68s,+44° 38′ 59.8″,5.57,−0.48,529,A0IV,α2 CVn variable,,,,,,,,,False
36 Cyg,,36.0,,193369.0,100108.0,20h 18m 28.63s,+36° 59′ 59.1″,5.58,1.70,195,A2V,,,,,,,,,,False
V389 Cyg,,,V389,201433.0,104371.0,21h 08m 38.87s,+30° 12′ 20.5″,5.60,−0.07,444,B9V,multiple; variable,B9V(B9VspSi + kA2.5hA7VmA9n),11885.0 K,3.17 M☉,2.5 R☉,113.0 L☉,4.14 cgs,1.13 d,,False
V1768 Cyg,,,V1768,190603.0,98863.0,20h 04m 36.18s,+32° 13′ 07.0″,5.62,−7.48,13583,B1.5Ia comp,α Cyg variable,,,,,,,,,False
40 Cyg,,40.0,,195050.0,100907.0,20h 27m 34.27s,+38° 26′ 25.9″,5.63,1.04,270,A3V,,,,,,,,,,False
V380 Cyg,,,V380,187879.0,97634.0,19h 50m 37.33s,+40° 35′ 59.2″,5.68,−3.80,2567,B1III,Algol variable,B1.5 II-III(primary) + B2 V(secondary),21500.0 K,11.8 M☉,16.0 R☉,54200.0 L☉,3.102 cgs,,,False
V2140 Cyg,,,V2140,199478.0,103312.0,20h 55m 49.81s,+47° 25′ 03.6″,5.68,−6.60,9314,B8Ia,α Cyg variable,,,,,,,,,False
79 Cyg,,79.0,,206774.0,107253.0,21h 43m 25.63s,+38° 17′ 01.0″,5.69,1.08,272,A0V,,,,,,,,,,False
7 Cyg,,7.0,,183534.0,95656.0,19h 27m 25.97s,+52° 19′ 13.8″,5.73,0.51,361,A1V,,A1V,9683.0 K,2.59 M☉,3.0 R☉,74.1 L☉,4.18 cgs,51.6 km/s,386.0 Myr,False
43 Cyg,,43.0,V2121,195068.0,100859.0,20h 27m 02.21s,+49° 22′ 59.6″,5.73,2.85,123,F0V:,V2121 Cyg; γ Dor variable,,,,,,,,,False
77 Cyg,,77.0,,206644.0,107162.0,21h 42m 22.94s,+41° 04′ 37.3″,5.73,0.44,372,A0V,,,,,,,,,,False
DT Cyg,,,DT,201078.0,104185.0,21h 06m 30.24s,+31° 11′ 04.8″,5.77,−3.05,1895,F7.5Ib-IIv,Cepheid variable,,,,,,,,,False
V2015 Cyg,,,V2015,196178.0,101475.0,20h 33m 54.84s,+46° 41′ 37.9″,5.78,−0.06,481,B9sp...,α2 CVn variable,,,,,,,,,False
V2119 Cyg,,,V2119,194335.0,100574.0,20h 23m 44.37s,+37° 28′ 35.2″,5.87,−1.32,893,B2Vne,Be star,,,,,,,,,False
V1143 Cyg,,,V1143,185912.0,96620.0,19h 38m 41.15s,+54° 58′ 24.2″,5.89,2.89,130,F6Vasv,Algol variable,F6V(F5 V + F5 V),6450.0 K,1.356 M☉,1.339 R☉,2.83 L☉,4.317 cgs,18.0 km/s,,False
V1334 Cyg,,,V1334,203156.0,105269.0,21h 19m 22.18s,+38° 14′ 14.9″,5.89,−4.27,3505,F2Ib,δ Cep variable,F1II+ B7.0V,,4.288 M☉,,,,,,False
42 Cyg,,42.0,,195324.0,101067.0,20h 29m 20.39s,+36° 27′ 17.0″,5.90,−2.67,1689,A1Ib,,,,,,,,,,False
69 Cyg,,69.0,V2157,204172.0,105811.0,21h 25m 47.02s,+36° 40′ 02.7″,5.93,−3.71,2763,B0Ib,probable α Cyg variable,,,,,,,,,False
W Cyg,,,W,205730.0,106642.0,21h 36m 02.44s,+45° 22′ 28.5″,5.96,−0.43,617,M4IIIe-M6e,semiregular variable,M4e-M6e(Tc:)III,3373.0 K,0.98 M☉,227.0 R☉,5888.0 L☉,,,,False
V460 Cyg,,,V460,206570.0,107129.0,21h 42m 01.08s,+35° 30′ 36.7″,5.98,−2.96,2000,C6.3,"DS Peg, carbon star; variable",,,,,,,,,False
16 Cyg A,c,16.0,,186408.0,96895.0,19h 41m 49.09s,+50° 31′ 31.6″,5.99,4.32,70,G2V,triple star system,G1.5Vb / G2.5Vb / M?V[citation needed],5830.0 K,1.08 M☉,1.229 R☉,1.55 L☉,4.292 cgs,23.8 d,7.07 Gyr,False
V1743 Cyg,,,V1743,184786.0,96198.0,19h 33m 41.60s,+49° 15′ 44.4″,6.00,−2.26,1462,M4.5III,,,,,,,,,,False
11 Cyg,,11.0,,185037.0,96387.0,19h 35m 48.30s,+36° 56′ 40.4″,6.03,−0.74,738,B8Vn,,,,,,,,,,False
61 Cyg B,,61.0,,201092.0,104217.0,21h 06m 52.19s,+38° 44′ 03.9″,6.05,8.33,11,K7V,component of the 61 Cyg system,K5V,4398.0 K,0.6771 M☉,0.667 R☉,0.15 L☉,4.63 cgs,35.54 days,6.1 Gyr,False
V2130 Cyg,,,V2130,197018.0,101949.0,20h 39m 33.31s,+40° 34′ 46.8″,6.07,−1.13,898,B6IIIp Mn,SX Ari variable,,,,,,,,,False
76 Cyg,,76.0,,206538.0,107097.0,21h 41m 34.27s,+40° 48′ 19.2″,6.07,0.34,455,A2V,,,,,,,,,,False
V1339 Cyg,,,V1339,206632.0,107140.0,21h 42m 08.35s,+45° 45′ 56.7″,6.11,−0.47,676,M4.5,,,,,,,,,,False
μ2 Cyg,μ2,78.0,,206827.0,,21h 44m 08.46s,+28° 44′ 34.5″,6.12,,,G2V,,F6V + G2V,6354.0 K,1.31 M☉,1.88 R☉,6.0 L☉,3.93 cgs,11.6 km/s,3.46 Gyr,False
