Name,B,F,G.,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
27 Hya,P,27,124.0,,80586.0,45811.0,09h 20m 29.03s,−09° 33′ 20.3″,4.8,0.43,243.0,G8III-IV+...,unconfirmed planet?,K0III+ F4V + K2V,4965.0 K,2.17 M☉,11.0 R☉,57.5 L☉,2.9 cgs,3.3 km/s,1.91 Gyr,False
9 Hya,,9,47.0,,74137.0,42662.0,08h 41m 43.33s,−15° 56′ 35.3″,4.87,0.89,204.0,K0IIICN...,,K0 III CNII,4688.0 K,1.72 M☉,11.1 R☉,54.445 L☉,2.8 cgs,1.7 km/s,,False
U Hya,,,240.0,U,92055.0,52009.0,10h 37m 33.25s,−13° 23′ 04.0″,4.89,−1.16,528.0,C,240 G. Hya. Carbon star,C-N5 C2 5-,3200.0 K,0.75 M☉,415.0 R☉,3476.0 L☉,0.28 cgs,,,False
φ Hya,"φ, φ3",,242.0,,92214.0,52085.0,10h 38m 35.01s,−16° 52′ 35.9″,4.91,0.72,225.0,G8III,242 G. Hya,G8 III,4952.0 K,2.04 M☉,9.0 R☉,48.0 L☉,2.95 cgs,3.6 km/s,1.17 Gyr,False
χ1 Hya,χ1,,264.0,,96202.0,54204.0,11h 05m 20.03s,−27° 17′ 36.9″,4.92,1.73,142.0,F3IV/V,,F4 V + F7 V,6637.0 K,1.93 M☉,3.19 R☉,17.798 L☉,,,1.3 Gyr,False
17 Crt,,(17),284.0,,100286.0,56280.0,11h 32m 16.42s,−29° 15′ 40.9″,4.93,2.80,87.0,F8V,,F8V + F8V,6240.0 K,1.2 M☉,1.6 R☉,3.2 L☉,4.17 cgs,10.0 km/s,3.95 Gyr,False
ψ Hya,ψ,45,341.0,,114149.0,64166.0,13h 09m 03.28s,−23° 07′ 04.7″,4.94,0.69,231.0,K0III,,K0 III,4680.0 K,,10.6 R☉,56.0 L☉,2.72 cgs,,,False
52 Hya,l,52,379.0,,126769.0,70753.0,14h 28m 10.44s,−29° 29′ 29.7″,4.97,−0.56,415.0,B7/B8V,,B7/8V,12853.0 K,3.82 M☉,,310.5 L☉,,204.0 km/s,,False
6 Hya,a,6,44.0,,73840.0,42509.0,08h 40m 01.52s,−12° 28′ 31.3″,4.98,−0.57,419.0,K3III,,K3 III,4080.0 K,,32.7 R☉,267.0 L☉,1.91 cgs,,,False
ω Hya,ω,18,95.0,,77996.0,44659.0,09h 05m 58.38s,+05° 05′ 32.4″,4.99,−2.86,1212.0,K2II-III,,K2 II-III,4789.0 K,4.32 M☉,48.49 R☉,944.3 L☉,1.74 cgs,2.3 km/s,180.0 Myr,False
