Name,B,F,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
R Cnc,,,R,69243,40534.0,08h 16m 33.90s,+11° 43′ 35.0″,8.64,-0.36,2060.0,M6.5-9e,"Mira variable, Vmax = 6.07m, Vmin = 11.9m, P = 357 d",M6e-M9e,2604.0 K,1.43 M☉,371.0 R☉,5700.0 L☉,0.69 cgs,,,False
BV Cnc,,,BV,73746,,08h 40m 32.97s,+19° 11′ 39.6″,8.65,2.41,577.0,F0V,"in Beehive Cluster; δ Sct variable, ΔV = 0.02m, P = 0.21 d",,,,,,,,,False
RZ Cnc,,,RZ,73343,42432.0,08h 39m 08.54s,+31° 47′ 44.4″,8.67,0.48,1420.0,K2III,"RS CVn variable, Vmax = 8.67m, Vmin = 10.03m, P = 21.64 d",,,,,,,,,False
UU Cnc,,,UU,,39341.0,08h 02m 30.90s,+15° 10′ 41.9″,8.85,,,K4III...,"β Lyr variable, Vmax = 8.68m, Vmin = 9.35m, P = 96.71 d",,,,,,,,,False
RX Cnc,,,RX,68775,40388.0,08h 14m 43.54s,+24° 44′ 05.3″,9.2,1.92,931.0,M8,semiregular variable,,,,,,,,,False
WY Cnc,,,WY,,44349.0,09h 01m 55.45s,+26° 41′ 22.7″,9.6,5.05,264.6,G5V,"RS CVn variable, Vmax = 9.51m, Vmin = 10.14m, P = 0.83 d",,,,,,,,,False
TX Cnc,,,TX,,,08h 40m 01.70s,+18° 59′ 59.5″,9.97,3.55,626.0,G0-G1V,"in Beehive Cluster; W UMa variable, Vmax = 10m, Vmin = 10.35m, P = 0.38 d",,,,,,,,,False
RU Cnc,,,RU,,42303.0,08h 37m 30.13s,+23° 33′ 41.6″,10.2,2.97,911.0,F9V:+...,"RS CVn variable, Vmax = 10.1m, Vmin = 11.25m, P = 10.17 d",,,,,,,,,False
TU Cnc,,,TU,,,08h 52m 16.65s,+09° 05′ 18.8″,10.53,,,A2,Algol variable,,,,,,,,,False
SY Cnc,,,SY,,,09h 01m 03.32s,+17° 53′ 56.2″,10.6,,,G8V,Z Cam variable,,,,,,,,,False
EX Cnc,,,EX,,,08h 51m 34.32s,+11° 51′ 10.5″,10.95,1.34,2720.0,A7,"in Messier 67; δ Sct variable, ΔV = 0.05m, P = 0.049 d",,,,,,,,,False
TT Cnc,,,TT,,41936.0,08h 32m 55.18s,+13° 11′ 28.5″,11.1,,,F0,"RR Lyr variable, Vmax = 10.93m, Vmin = 11.57m, P = 0.56 d",,,,,,,,,False
ES Cnc,,,ES,,,08h 51m 20.79s,+11° 53′ 26.2″,11.16,1.55,2720.0,F4,"in Messier 67; RS CVn variable, Vmax = 11.16m, Vmin = 11.28m, P = 1.07 d",,,,,,,,,False
CU Cnc,,,CU,,41824.0,08h 31m 37.57s,+19° 23′ 39.4″,11.8,11.58,36.07,M5Ve,"Algol variable and flare star, Vmax = 11.68m, Vmin = 11.80m, P = 2.77 d",,,,,,,,,False
SS Cnc,,,SS,,,08h 06m 25.60s,+23° 15′ 05.7″,12.11,,,A8.5,"RR Lyr variable, Vmax = 11.49m, Vmin = 12.72m, P = 0.37 d",,,,,,,,,False
EW Cnc,,,EW,,,08h 51m 32.58s,+11° 50′ 40.6″,12.27,2.66,2720.0,F0,"in Messier 67; δ Sct variable, ΔV = 0.02m, P = 0.053 d",,,,,,,,,False
HV Cnc,,,HV,,,08h 51m 17.99s,+11° 45′ 54.2″,12.73,3.12,2720.0,,in Messier 67; Algol variable,,,,,,,,,False
EV Cnc,,,EV,,,08h 51m 28.15s,+11° 49′ 27.5″,12.78,3.17,2720.0,F3,"in Messier 67; W UMa variable, ΔV = 0.13m, P = 0.44 d",,,,,,,,,False
AD Cnc,,,AD,,,08h 46m 20.10s,+10° 20′ 07.2″,13.1,,,K0V,"W UMa variable, Vmax = 13.1m, Vmin = 13.4m, P = 0.28 d",,,,,,,,,False
AH Cnc,,,AH,,,08h 51m 37.85s,+11° 50′ 57.1″,13.41,3.8,2720.0,F7V,"in Messier 67; W UMa variable, Vmax = 13.31m, Vmin = 13.96m, P = 0.36 d",,,,,,,,,False
HU Cnc,,,HU,,,08h 51m 13.36s,+11° 51′ 40.1″,13.61,4,2720.0,G8IV,"in Messier 67; RS CVn variable, Vmax = 13.45m, Vmin = 13.61m, P = 18.39 d",,,,,,,,,False
AC Cnc,,,AC,,,08h 44m 27.11s,+12° 52′ 31.9″,13.8,,,K1-3V,"Algol variable and nova-like star, Vmax = 13.8m, Vmin = 15.4m, P = 0.30 d",,,,,,,,,False
G 9-38,,,EI,,,08h 58m 15.19s,+19° 45′ 47.1″,,,17.2,M5.5V,flare star,M8Ve,2890.0 K,0.127 M☉,0.136 R☉,0.00135 L☉,,,,False
DX Cnc,,,DX,,,08h 29m 49.35s,+26° 46′ 33.7″,14.81,17.01,11.82,M6.5V,flare star,M6.5V,2840.0 K,0.106 M☉,0.1235 R☉,0.00073 L☉,5.0 cgs,0.46 days,200.0 Myr,False
AT Cnc,,,AT,,,08h 28m 36.93s,+25° 20′ 03.0″,15.2,,,DAe...,"Z Cam variable, Vmax = 12.57m, Vmin = 15.2m, P = 0.20 d",,,,,,,,,False
YZ Cnc,,,YZ,,,08h 10m 56.65s,+28° 08′ 33.5″,16.3,,,,"SU UMa variable, Vmax = 10.5m, Vmin = 16.3m, P = 0.087 d",,,,,,,,,False
EG Cnc,,,EG,,,08h 43m 03.99s,+27° 51′ 49.7″,17.0,,,,"Huruhata's Variable; WZ Sge variable, Vmax = 11.9m, Vmin = 17.0m, P = 0.060 d",,,,,,,,,False
DW Cnc,,,DW,,,07h 58m 53.05s,+16° 16′ 45.2″,17.5,,,O...,"dwarf nova, Vmax = 11.36m, Vmin = 17.5m, P = 0.0060 d",,,,,,,,,False
AZ Cnc,,,AZ,,,08h 40m 29.75s,+18° 14′ 09.2″,17.59,16.86,45.7,M6.0V,flare star,M6.5eV,2825.0 K,0.1 M☉,0.13 R☉,0.015 L☉,5.24 cgs,,100.0 Myr,False
GY Cnc,,,GY,,,09h 09m 50.55s,+18° 49′ 47.5″,17.8,,,,"dwarf nova and eclipsing binary, Vmax = 12.5m, Vmin = 17.8m, P = 0.18 d",,,,,,,,,False
AR Cnc,,,AR,,,09h 22m 07.55s,+31° 03′ 14.5″,18.7,,,,"dwarf nova and Algol variable, Vmax = 15.3m, Vmin = 18.7m, P = 0.21 d",,,,,,,,,False
RX J0806.3+1527,,,HM,,,08h 06m 22.95s,+15° 27′ 31.1″,,,160.0,,AM Canum Venaticorum star,,,0.5 (b)M☉,,,,,,False
AK Cnc,,,AK,,,08h 55m 21.18s,+11° 18′ 15.3″,,,,,SU UMa variable,,,,,,,,,False
CC Cnc,,,CC,,,08h 36m 19.15s,+21° 21′ 05.3″,,,,K0V,SU UMa variable,,,,,,,,,False
