Name,B,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
HR 3562,,IY,76566,43807.0,08h 55m 19.21s,−45° 02′ 30.1″,6.26,−1.03,934.0,B3IV,"slowly pulsating B star, Vmax = 6.23m, Vmin = 6.27m",A3IV,16982.0 K,5.644 M☉,5.648 R☉,832.0 L☉,4.01 cgs,5.0 km/s,38.0 Myr,False
GY Vel,,GY,89273,50332.0,10h 16m 40.17s,−51° 12′ 16.8″,6.3,−0.41,715.0,M4/M5III,"semiregular variable, Vmax = 6.23m, Vmin = 6.5m",,,,,,,,,False
GK Vel,,GK,81575,46194.0,09h 25m 07.89s,−43° 58′ 36.1″,6.31,−0.61,789.0,M5III,"semiregular variable, Vmax = 6.26m, Vmin = 6.39m, P = 120 d",,,,,,,,,False
HZ Vel,,HZ,75654,43354.0,08h 49m 52.40s,−39° 08′ 30.1″,6.39,1.93,254.0,A5III,"δ Sct variable, ΔV = 0.025m, P = 0.087 d",,,,,,,,,False
QZ Vel,,QZ,85871,48469.0,09h 53m 00.11s,−55° 22′ 23.6″,6.48,−3.06,2650.0,B1IIIn,slowly pulsating B star,,,,,,,,,False
V361 Vel,,V361,95716,53940.0,11h 02m 13.84s,−41° 06′ 50.6″,6.48,−2.18,1762.0,M4III,"semiregular variable, Vmax = 6.17m, Vmin = 6.88m, P = 64.9 d",,,,,,,,,False
HD 87816,,R,87816,49477.0,10h 06m 07.26s,−52° 11′ 16.7″,6.51,1.09,394.0,K0III,"suspected variable, Vmax = 6.49m, Vmin = 6.52m",K1III,4989.0 K,2.41 M☉,9.0 R☉,45.0 L☉,2.86 cgs,,,False
CV Vel,,CV,77464,44245.0,09h 00m 37.99s,−51° 33′ 20.1″,6.69,,1430.0,B2V+...,"Algol variable, Vmax = 6.69m, Vmin = 7.19m, P = 6.89 d",,,,,,,,,False
AI Vel,,AI,69213,40330.0,08h 14m 05.15s,−44° 34′ 32.8″,6.7,,319.0,A9IV/V,"double-mode δ Sct variable, Vmax = 6.15m, Vmin = 6.76m, P = 0.11 d",A9IV/V,7496.0 K,1.55 M☉,2.86 R☉,20.0 L☉,3.85 cgs,18.0 km/s,479.0 Myr,False
KK Vel,,KK,78616,44790.0,09h 07m 42.52s,−44° 37′ 56.8″,6.79,,1650.0,B2II/III,β Cep variable,,,,,,,,,False
Vela X-1,,GP,77581,44368.0,09h 02m 06.86s,−40° 33′ 16.9″,6.87,,3500.0,B0.5Iae,"X-ray pulsar system and eclipsing binary, Vmax = 6.76m, Vmin = 6.99m, P = 8.96 d",B0.5Ia,,2.12 M☉,9.56 km,,,,,False
HD 72754,,FY,72754,41882.0,08h 32m 23.38s,−49° 36′ 04.8″,6.9,,2160.0,B2Ia:pshe,"β Lyr variable, Vmax = 6.84m, Vmin = 7.06m, P = 33.72 d",,,,,,,,,False
RZ Vel,,RZ,73502,42257.0,08h 37m 01.30s,−44° 06′ 52.8″,7.13,,1770.0,G1Ib,"classical Cepheid, Vmax = 6.42m, Vmin = 7.64m, P = 20.40 d",,,,,,,,,False
HD 73882,,NX,73882,42433.0,08h 39m 09.53s,−40° 25′ 09.3″,7.19,,1500.0,O9III,"Algol variable, Vmax = 7.19m, Vmin = 7.29m, P = 2.92 d",O8.5IV,,,,,,,,False
V342 Vel,,V342,89767,50598.0,10h 20m 11.74s,−52° 36′ 06.2″,7.23,−6.4,6000.0,B0Iab,"α Cyg variable, Vmax = 7.16m, Vmin = 7.25m",,,,,,,,,False
HD 76534,,OU,76534,43792.0,08h 55m 08.71s,−43° 27′ 59.9″,7.5,,3200.0,B2Vne,Be star,,,,,,,,,False
IGR J08408-4503,,LM,74194,42587.0,08h 40m 47.79s,−45° 03′ 30.2″,7.55,,,O8Ib(f),"recurrent X-ray transient and α Cyg variable, Vmax = 7.54m, Vmin = 7.57m, P = 7.81 d",,,,,,,,,False
HD 80077,,PV,80077,45467.0,09h 15m 54.79s,−49° 58′ 24.6″,7.68,,,B2Ia+e,"possibly in Pismis 11; luminous blue variable, Vmax = 7.42m, Vmin = 7.68m",,,,,,,,,False
T Vel,,T,73678,42321.0,08h 37m 40.83s,−47° 21′ 43.1″,7.68,,7100.0,G0II,"classical Cepheid, Vmax = 7.68m, Vmin = 8.34m, P = 4.64 d",,,,,,,,,False
S Vel,,S,82829,46881.0,09h 33m 13.20s,−45° 12′ 30.9″,7.81,,512.0,A5m,"Algol variable, Vmax = 7.74m, Vmin = 9.5m, P = 5.93 d",,,,,,,,,False
SV Vel,,SV,93247,52570.0,10h 44m 56.35s,−56° 17′ 22.4″,7.91,,,F7II,"classical Cepheid, Vmax = 7.91m, Vmin = 9.12m, P = 14.10 d",,,,,,,,,False
AX Vel,,AX,68556,,08h 10m 49.32s,−47° 41′ 54.8″,8.16,,,F6II,"double-mode Cepheid variable, Vmax = 7.93m, Vmin = 8.48m, P = 2.59 d",,,,,,,,,False
W Vel,,W,299011,50230.0,10h 15m 14.83s,−54° 28′ 42.0″,8.3,,967.0,M8IIIe,"Mira variable, Vmax = 8.2m, Vmin = 14.4m, P = 395 d",G8-K1III+ A7,5889.0 K,,7.97 R☉,68.769 L☉,,,,False
SW Vel,,SW,74712,42831.0,08h 43m 38.69s,−47° 24′ 11.2″,8.32,,5300.0,F9Ib,"classical Cepheid, Vmax = 7.49m, Vmin = 8.75m, P = 23.41 d",,,,,,,,,False
SX Vel,,SX,74884,42926.0,08h 44m 53.47s,−46° 20′ 34.8″,8.33,,3050.0,F8II,"classical Cepheid, Vmax = 7.92m, Vmin = 8.72m, P = 9.55 d",,,,,,,,,False
AL Vel,,AL,,41784.0,08h 31m 11.28s,−47° 39′ 57.4″,8.65,,,K0III+A3III/V,"Algol variable, Vmax = 8.6m, Vmin = 8.93m, P = 96.11 d",,,,,,,,,False
WY Vel,,WY,81137,,09h 21m 59.19s,−52° 33′ 51.8″,8.8,,,M2pe,"Z And variable, Vmax = 7.50m, Vmin = 9.1m",M2 Ib pe+ B2III,3550.0 K,,1157.0 R☉,200000.0 L☉,,,,False
IRAS 08544-4431,,V390,,,08h 56m 14.19s,−44° 43′ 10.8″,9.18,,2600.0,F3e,"post-AGB star; semiregular variable, Vmax = 9.01m, Vmin = 9.27m, P = 94.73 d",F3e,7250.0 K,0.65 M☉,75.0 R☉,14000.0 L☉,1.5 cgs,,,False
AO Vel,,AO,68826,,08h 11m 53.91s,−48° 44′ 46.0″,9.37,,,B9III,"trinary star; Algol variable Vmax = 9.35m, Vmin = 9.79m, P = 1.58 d",,,,,,,,,False
AP Vel,,AP,,42492.0,08h 39m 45.76s,−43° 51′ 39.2″,10.16,,4600.0,F9,"double-mode Cepheid variable, Vmax = 9.49m, Vmin = 10.48m, P = 3.13 d",,,,,,,,,False
AF Vel,,AF,,53213.0,10h 53m 02.49s,−49° 54′ 22.7″,10.69,,2250.0,F2.5,"RR Lyr variable, Vmax = 10.68m, Vmin = 11.78m, P = 0.53 d",,,,,,,,,False
WR 12,,V378,,,08h 44m 47.29s,−45° 58′ 55.5″,10.78,,,WN8h+?,"Algol variable, ΔV = 0.12m",WN8h,44700.0 K,30.0 M☉,16.38 R☉,851000.0 L☉,,,,False
CS Vel,,CS,,,09h 41m 10.26s,−53° 48′ 57.8″,11.24,,,,"in Ruprecht 79; classical Cepheid, Vmax = 11.24m, Vmin = 12.21m, P = 5.90 d",,,,,,,,,False
LSS 2018,,KV,,,10h 54m 40.57s,−48° 47′ 02.9″,12.12,,,O,"central star of DS 1; re-radiating spectroscopic binary, Vmax = 11.78m, Vmin = 12.34m, P = 0.36 d",,,,,,,,,False
GRS 1009-45,,MM,,,10h 13m 36.38s,−45° 04′ 32.0″,14.71,,,G5V-M0V,X-ray nova,,,,,,,,,False
V382 Vel,,V382,,,10h 44m 48.39s,−52° 25′ 30.7″,16.6,,,,"nova, Vmax = 2.8m, Vmin = 16.6m, P = 0.16 d",,,,,,,,,False
RX J0925.7-4758,,MR,,,09h 25m 46.00s,−47° 58′ 17.4″,16.98,,,,"close binary supersoft source, Vmax = 16.98m, Vmin = 17.3m, P = 4.03 d",,,,,,,,,False
CU Vel,,CU,,,08h 58m 33.03s,−41° 47′ 51.7″,17.0,,,,"SU UMa variable, Vmax = 10.5m, Vmin = 17.0m, P = 0.079 d",,,,,,,,,False
Vela Pulsar,,HU,,,08h 35m 20.66s,−45° 10′ 35.2″,23.6,,959.0,,pulsar; associated with the Vela supernova remnant,,,,,,,,,False
