Name,B,F,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
BG Lac,,,BG,,108630.0,22h 00m 25.14s,+43° 26′ 43.3″,8.59,,,G0.7,"Classical Cepheid, Vmax = 8.51m, Vmin = 9.18m, P = 5.331908 d",,,,,,,,,False
HD 213918,,,V362,213918.0,111400.0,22h 34m 07.28s,+39° 20′ 07.9″,8.68,,,Ap,"α2 CVn variable, ΔV = 0.07m, P = 1.43 d",,,,,,,,,False
HD 215441,,,GL,215441.0,112247.0,22h 44m 07.51s,+55° 35′ 21.2″,8.81,,5100,A0p,"Babcock's star; α2 CVn variable, Vmax = 8.73m, Vmin = 8.9m, P = 9.4871 d",,,,,,,,,False
RT Lac,,,RT,209318.0,108728.0,22h 01m 30.74s,+43° 53′ 25.6″,8.84,,825,G9+K1IVIV,"RS CVn variable, Vmax = 8.84m, Vmin = 9.89m, P = 5.0739496 d",,,,,,,,,False
RR Lac,,,RR,240024.0,112026.0,22h 41m 26.53s,+56° 25′ 58.0″,8.87,,2090,K0,"Classical Cepheid, Vmax = 8.38m, Vmin = 9.3m, P = 6.416243 d",,,,,,,,,False
V Lac,,,V,240073.0,112626.0,22h 48m 38.00s,+56° 19′ 17.5″,8.89,,,G5,"Classical Cepheid, Vmax = 8.38m, Vmin = 9.42m, P = 4.983458 d",,,,,,,,,False
IRAS 22272+5435,,,V354,235858.0,,22h 29m 10.37s,+54° 51′ 06.4″,9.0,,,G5Ia,"protoplanetary nebula, ΔV = 0.49m, P = 130 d",,,,,,,,,False
Y Lac,,,Y,235739.0,109340.0,22h 09m 02.90s,+51° 02′ 45.1″,9.13,-3.2 ± 0.2,8500 ± 800,F8,"Classical Cepheid, Vmax = 8.76m, Vmin = 9.5m, P = 4.323776 d",,,,,,,,,False
U Lac,,,U,215924.0,112545.0,22h 47m 43.43s,+55° 09′ 30.3″,9.4,,2880,M4Iab:e,semiregular variable,M4epIab + B,3535.0 K,22.0 M☉,1013.0 R☉,152000.0 L☉,,,,False
IRAS 22223+4327,,,V448,,,22h 24m 31.43s,+43° 43′ 10.9″,9.69,,,F9Ia,"protoplanetary nebula, ΔV = 0.21m, P = 89 d",,,,,,,,,False
SS Lac,,,SS,,108981.0,22h 04m 41.55s,+46° 25′ 38.1″,10.12,,3300,B9V,Algol variable,,,,,,,,,False
VY Lac,,,VY,216160.0,,22h 49m 59.13s,+49° 00′ 16.0″,10.13,,,A2,Beta Lyrae variable,,,,,,,,,False
