Name,B,F,G.,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
λ Cet,λ,91,308.0,,18604.0,13954.0,02h 59m 42.90s,+08° 54′ 26.6″,4.71,−0.86,424.0,B6III,Menkar,B6III,13940.0 K,5.01 M☉,5.4 R☉,652.0 L☉,,131.0 km/s,125.0 Myr,False
σ Cet,σ,76,261.0,,15798.0,11783.0,02h 32m 05.28s,−15° 14′ 39.6″,4.74,2.68,84.0,F5V,Al Sadr al Kaitos II,F5 Vor F4 IV,6527.0 K,1.45 M☉,2.108 R☉,6.95 L☉,4.07 cgs,20.0 km/s,2.135 Gyr,False
φ1 Cet,φ1,17,72.0,,4188.0,3455.0,00h 44m 11.41s,−10° 36′ 33.4″,4.77,0.73,210.0,K0IIIvar,part of Al Nitham (φ Cet); suspected variable,K0 III,4775.0 K,1.6 M☉,11.0 R☉,54.0 L☉,2.7 cgs,2.3 km/s,2.21 Gyr,False
20 Cet,,20,89.0,,5112.0,4147.0,00h 53m 00.49s,−01° 08′ 39.2″,4.78,−1.23,519.0,M0III,,K5 III,4065.0 K,1.1 M☉,65.93 R☉,754.8 L☉,1.61 cgs,,,False
ε Cet,ε,83,284.0,,16620.0,12390.0,02h 39m 33.73s,−11° 52′ 17.7″,4.83,2.67,88.0,F5V,Al Sadr al Kaitos III,F2V + F7/G4V,6520.0 K,1.37 M☉,1.52 R☉,,4.21 cgs,11.5 km/s,1.8 Gyr,False
κ1 Cet,κ1,96,319.0,,20630.0,15457.0,03h 19m 21.54s,+03° 22′ 11.9″,4.84,5.03,30.0,G5Vvar,"BY Dra variable, ΔV = 0.04m",G5Vv,5786.0 K,1.021 M☉,0.95 R☉,0.879 L☉,4.5 cgs,9.2 days,400.0 Myr,False
ν Cet,ν,78,270.0,,16161.0,12093.0,02h 35m 52.49s,+05° 35′ 35.9″,4.87,−0.42,372.0,G8III,double star,G8III + F7V (visual companion),5164.0 K,2.65 M☉,15.87 R☉,161.4 L☉,2.56 cgs,,537.0 Myr,False
ρ Cet,ρ,72,247.0,,15130.0,11345.0,02h 25m 57.01s,−12° 17′ 25.6″,4.88,−1.17,528.0,A0V,Al Sadr al Kaitos I,A0 V,8905.0 K,,3.1 R☉,178.0 L☉,,219.0 km/s,,False
6 Cet,,6,15.0,,693.0,910.0,00h 11m 15.91s,−15° 28′ 02.4″,4.89,3.51,62.0,F5V,,F8 V Fe−0.8 CH−0.5,6289.0 K,1.12 M☉,,3.34 L☉,4.17 cgs,4.88 km/s,4.2 Gyr,False
46 Cet,,46,141.0,,8705.0,6670.0,01h 25m 37.21s,−14° 35′ 55.5″,4.9,0.17,288.0,K2III,,K2+ III–IIIb CN0.5,4316.0 K,1.38 M☉,19.0 R☉,132.0 L☉,2.2 cgs,0.0 km/s,4.17 Gyr,False
