Name,B,F,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
HD 250550,,,V1307,250550,28582.0,06h 01m 59.99s,+16° 30′ 56.7″,9.48,,,B9e,"Orion variable, ΔV = 0.35m",,,,,,,,,False
UX Ori,,,UX,293782,23602.0,05h 04m 29.99s,−03° 47′ 14.3″,9.48,,913.0,A4IVe,"prototype UX Ori star, Vmax = 9.48m, Vmin = 12.5m",A3ea,6136.0 K,1.2 M☉,2.1 R☉,5.6 L☉,3.86 cgs,143.0 km/s,4.8 Myr,False
EY Ori,,,EY,36412,25863.0,05h 31m 18.41s,−05° 42′ 13.5″,9.49,,,A7V,"Algol variable, Vmax = 9.43m, Vmin = 10.13m, P = 16.79 d",,,,,,,,,False
BN Ori,,,BN,,,05h 36m 29.35s,+06° 50′ 02.2″,9.6,,,F4e,"T Tau star, Vmax = 9.60m, Vmin = 9.70m, P = 0.65 d",,,,,,,,,False
FU Ori,,,FU,,,05h 45m 22.36s,+09° 04′ 12.4″,9.6,,,F0Iab,prototype FU Orionis star,uncertain + K5+2−1,5095.1 K,0.6 M☉,10.42 R☉,,,,2.0 Myr,False
BF Ori,,,BF,,26403.0,05h 37m 13.26s,−06° 35′ 00.6″,9.69,,,A7III,"UX Ori star, Vmax = 9.69m, Vmin = 13.47m",A5II-III,8750.0 K,1.85 M☉,1.59 R☉,39.0 L☉,3.5 cgs,37.0 km/s,17.14 Myr,False
V586 Ori,,,V586,37258,,05h 36m 59.25s,−06° 09′ 16.4″,9.77,,,A3V,"UX Orionis star, Vmax = 9.48m, Vmin = 11.41m",,,,,,,,,False
HD 37411,,,V1788,37411,,05h 38m 14.51s,−05° 25′ 13.3″,9.79,,,B9Ve,"Orion variable, Vmax = 9.76m, Vmin = 9.85m",,,,,,,,,False
HD 34282,,,V1366,34282,24552.0,05h 16m 00.48s,−09° 48′ 35.4″,9.84,,622.0,A0,"UX Ori star and δ Sct variable, Vmax = 9.75m, Vmin = 10.62m",,,,,,,,,False
EW Ori,,,EW,287727,,05h 20m 09.15s,+02° 02′ 40.0″,9.9,,,F8,"Algol variable, Vmax = 9.9m, Vmin = 10.6m, P = 6.94 d",,,,,,,,,False
V1162 Ori,,,V1162,,,05h 32m 01.99s,−07° 15′ 24.6″,9.9,,,A6mF2,δ Sct variable,,,,,,,,,False
Z Ori,,,Z,249313,28045.0,05h 55m 50.93s,+13° 41′ 42.0″,9.98,,,B4V...,Algol variable,,,,,,,,,False
GW Ori,,,GW,244138,25689.0,05h 29m 08.39s,+11° 52′ 12.7″,10.1,,896.0,G5/8Ve,triple star; T Tau star,G8Vor G3V/K0V,5780.0 K,2.74 M☉,,,,43.0 km/s,1.3 Myr,False
V1005 Ori,,,V1005,,23200.0,04h 59m 34.83s,+01° 47′ 00.7″,10.11,,84.0,M0Ve,"T Tau star and flare star, ΔV = 0.067m, P = 4.41 d",M0Ve,3843.0 K,0.75 M☉,0.74 R☉,0.12 L☉,4.5 cgs,4.4236 d,25.0 Myr,False
V346 Ori,,,V346,287841,25299.0,05h 24m 42.80s,+01° 43′ 48.3″,10.17,,1570.0,A,"UX Ori star and δ Sct variable, Vmax = 10.1m, Vmin = 10.9m, P = 0.03 d",,,,,,,,,False
CO Ori,,,CO,,25540.0,05h 27m 38.34s,+11° 25′ 39.0″,10.3,,1060.0,F7Ve,"UX Ori star, Vmax = 10.0m, Vmin = 12.8m",,,,,,,,,False
FZ Ori,,,FZ,288166,,05h 41m 21.01s,+02° 36′ 23.0″,10.7,,,G0,"W UMa variable, Vmax = 10.7m, Vmin = 11.3m, P = 0.40 d",,,,,,,,,False
V380 Ori,,,V380,,26327.0,05h 36m 25.43s,−06° 52′ 57.7″,10.7,,,A1e,quadruple star; UX Ori star,A1e,10500.0 K,2.87 M☉,3.0 R☉,100.0 L☉,,4.31276 days,2.0 millionMyr,False
GG Ori,,,GG,290842,,05h 43m 10.22s,−00° 41′ 14.9″,,,,A2,Algol variable,,,,,,,,,False
HK Ori,,,HK,,,05h 31m 28.05s,+12° 09′ 10.3″,11.2,,,A2?e+G0?e,"UX Ori star, Vmax = 11.2m, Vmin = 12.3m",,,,,,,,,False
T Ori,,,T,,,05h 35m 50.44s,−05° 28′ 34.9″,11.25,,,A3IVeb,"UX Ori star, Vmax = 9.5m, Vmin = 12.6m",,,,,,,,,False
DY Ori,,,DY,,,06h 06m 14.91s,+13° 54′ 19.1″,11.29,,,,"RV Tau variable, Vmax = 11.2m, Vmin = 12.2m, P = 60.84 d",,,,,,,,,False
LkHα 208,,,,,,06h 07m 49.54s,+18° 39′ 26.5″,11.3,,1000.0,F0Ve,associated with a bipolar nebula,,,,,,,,,False
FH Ori,,,FH,243229,,05h 23m 18.62s,+04° 15′ 38.2″,11.37,,,A2,Algol variable,,,,,,,,,False
θ1 Ori E,θ1 E,41.0,,,,05h 35m 15.77s,−05° 23′ 10.02″,11.4,,1600.0,G2IV+G2IV,"component of the Trapezium; Algol variable and T Tau star, ΔV = 0.1m, P = 9.90 d",G2 IV,6000.0 K,2.807 M☉,7.1 R☉,29.0 L☉,,37.0 km/s,0.5 Myr,False
