Name,B,F,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
UW CMa,,29.0,UW,57060.0,35412.0,07h 18m 40.38s,−24° 33′ 31.3″,4.88,−4.93,2991,O7Ia:fp,"β Lyr variable, Vmax = 4.84m, Vmin = 5.33m, P = 4.393407 d",O7.5-8Iabf + O9.7Ib,33750.0 K,44.0 M☉,20.0 R☉,450000.0 L☉,,,,False
μ CMa,μ,18.0,,51250.0,33345.0,06h 56m 06.65s,−14° 02′ 36.4″,5.00,−2.22,908,B9.5V,Isis,K2/3 III + B9/A0 V,4123.0 K,5.4 M☉,80.0 R☉,1660.0 L☉,1.14 cgs,5.0 km/s,100.0 Myr,False
HD 58343,,,FW,58343.0,35951.0,07h 24m 40.19s,−16° 12′ 05.1″,5.18,−2.13,945,B2Vne,"γ Cas variable, Vmax = 5.m, Vmin = 5.5m",,,,,,,,,False
10 CMa,,10.0,FT,48917.0,32292.0,06h 44m 28.47s,−31° 04′ 13.9″,5.23,−4.29,2608,B2V,"γ Cas variable, Vmax = 5.13m, Vmin = 5.44m",B2 Vor B2 IIIe,25350.0 K,19.2 M☉,10.0 R☉,44463.0 L☉,3.76 cgs,2.63 d,8.2 Myr,False
11 CMa,,11.0,,49229.0,32492.0,06h 46m 51.09s,−14° 25′ 33.6″,5.28,−1.19,642,B8/B9III,,B8/9III,11540.0 K,,,485.12 L☉,,130.0 km/s,,False
NO CMa,,,NO,58155.0,35795.0,07h 23m 00.70s,−31° 55′ 25.6″,5.40,−2.81,1430,B3V,Be star,,,,,,,,,False
FN CMa,,,FN,53974.0,34301.0,07h 06m 40.77s,−11° 17′ 38.5″,5.41,−4.29,2835,B0.5IV,"β Cep variable, Vmax = 5.38m, Vmin = 5.42m, P = 0.08866 d",B0 III/IVor B2 Ia/ab,2685033600.0 K,0.135 .5±4.6M☉,,122079690000.0 L☉,3.59 cgs,100.0 km/s,6.0 Myr,False
FR CMa,,,FR,44458.0,30214.0,06h 21m 24.72s,−11° 46′ 23.7″,5.48,−3.07,1672,B1Vpe SB,"γ Cas variable, Vmax = 5.46m, Vmin = 5.64m",,,,,,,,,False
NR CMa,,,NR,58954.0,36186.0,07h 27m 07.99s,−17° 51′ 53.5″,5.60,0.93,280,F2V,δ Sct variable,F2V,7227.0 K,2.18 M☉,3.9 R☉,37.4 L☉,3.65 cgs,185.0 km/s,1.494 Gyr,False
HR 2501,,,HP,49131.0,32385.0,06h 45m 31.19s,−30° 56′ 56.4″,5.62,−2.81,1583,B+...,"γ Cas and λ Eri variable, Vmax = 5.33m, Vmin = 5.81m, P = 0.79187 d",B1.5 Vne,22070.0 K,9.6 M☉,7.5 R☉,2067.0 L☉,3.6 cgs,135.0 km/s,23.0 Myr,False
LS CMa,,,LS,52670.0,33804.0,07h 01m 05.95s,−25° 12′ 56.3″,5.64,−1.85,1028,B2/B3III/IV,eclipsing binary,B2/3III/IV,,,,,,,,False
FY CMa,,,FY,58978.0,36168.0,07h 26m 59.49s,−23° 05′ 09.7″,5.65,−2.54,1417,B1II,"γ Cas variable, Vmax = 4.8m, Vmin = 6.25m",B0.5 IVe,27500.0 K,13.0 M☉,6.8 R☉,26915.0 L☉,,340.0 km/s,,False
