Name,B,F,G.,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
14 Oph,,14,43,,150557.0,81734.0,16h 41m 42.54s,+01° 10′ 52.0″,5.74,2.21,165.0,F2.7III-IV,,,,,,,,,,False
26 Oph,,26,67,,153363.0,83196.0,17h 00m 09.48s,−24° 59′ 20.2″,5.74,3.13,108.0,F3V,,,,,,,,,,False
12 Oph,,12,27,V2133,149661.0,81300.0,16h 36m 21.18s,−02° 19′ 25.8″,5.77,5.82,32.0,K2V,V2133 Oph; BY Dra variable,K1 V,5248.0 K,0.91 M☉,0.77 R☉,0.457 L☉,4.62 cgs,21.3 days,1.9 Gyr,False
53 Oph,f,53,155,,159480.0,85998.0,17h 34m 36.69s,+09° 35′ 12.2″,5.8,0.70,342.0,A2V,,A2 V + A8 IV,9311.0 K,2.5 M☉,1.7 R☉,56.4 L☉,3.9 cgs,29.0 km/s,,False
V2052 Oph,,,182,V2052,163472.0,87812.0,17h 56m 18.40s,+00° 40′ 13.3″,5.82,−1.21,830.0,B2IV-V,β Cep variable,B2 IV–V,23000.0 K,8.9 M☉,4.1 R☉,3426.0 L☉,4.0 cgs,3.638833 d,21.0 Myr,False
U Oph,,,110,U,156247.0,84500.0,17h 16m 31.72s,+01° 12′ 38.1″,5.89,−0.46,606.0,B5Vnn,Algol variable,,,,,,,,,False
ρ Oph B,ρ,5,12,,147934.0,80473.0,16h 25m 35.10s,−23° 26′ 46.0″,5.92,,361.0,B2V,,B2/3V + B2V,23000.0 K,9.21 M☉,4.2 R☉,4270.0 L☉,4.25 cgs,1.205 days,15.0 Myr,False
V2213 Oph,,,81,V2213,154417.0,83601.0,17h 05m 16.83s,+00° 42′ 12.1″,6.0,4.45,66.0,F9V,BY Draconis variable,,,,,,,,,False
16 Oph,,16,44,,151133.0,82037.0,16h 45m 29.68s,+01° 01′ 12.5″,6.02,0.20,477.0,B9.5III,,,,,,,,,,False
19 Oph,,19,45,,151431.0,82162.0,16h 47m 09.76s,+02° 03′ 52.4″,6.07,0.17,492.0,A3V,,,,,,,,,,False
V2392 Oph,,,206,V2392,167654.0,89527.0,18h 16m 05.58s,+02° 22′ 39.3″,6.1,−0.58,706.0,M4III,,,,,,,,,,False
V986 Oph,,,196,V986,165174.0,88522.0,18h 04m 37.36s,+01° 55′ 08.4″,6.14,,,B0IIIn,,,,,,,,,,False
61 Oph,,61,169,,161270.0,86831.0,17h 44m 34.09s,+02° 34′ 45.9″,6.16,0.41,460.0,A1IV-V,,,,,,,,,,False
V2368 Oph,,,108,V2368,156208.0,84479.0,17h 16m 14.25s,+02° 11′ 10.5″,6.17,−0.11,588.0,A2V,Algol variable,,,,,,,,,False
33 Sco,,(33),,,157588.0,85242.0,17h 25m 06.23s,−24° 14′ 37.4″,6.17,0.60,424.0,K0III,,,,,,,,,,False
V1010 Oph,,,48,V1010,151676.0,82339.0,16h 49m 27.67s,−15° 40′ 04.8″,6.18,1.83,242.0,A3V,β Lyr variable,,,,,,,,,False
Y Oph,,,175,Y,162714.0,87495.0,17h 52m 38.70s,−06° 08′ 36.8″,6.18,−3.54,2860.0,G3Ibv SB,δ Cep variable,,,,,,,,,False
2 Sgr,,(2),158,,160042.0,86352.0,17h 38m 44.87s,−21° 54′ 45.4″,6.19,1.11,337.0,G6III/IV,,,,,,,,,,False
V2388 Oph,,,,V2388,163151.0,87655.0,17h 54m 14.21s,+11° 07′ 51.4″,6.24,2.08,221.0,F5Vn,,,,,,,,,,False
V2542 Oph,,,56,V2542,152569.0,82693.0,16h 54m 10.60s,−01° 36′ 43.6″,6.25,1.93,238.0,F0V,δ Sct variable,,,,,,,,,False
29 Oph,,29,71,,153727.0,83331.0,17h 01m 51.27s,−18° 53′ 07.8″,6.28,0.58,450.0,K1III,,,,,,,,,,False
28 Sco,,(28),79,,154418.0,83684.0,17h 06m 11.81s,−21° 33′ 51.8″,6.29,1.33,321.0,A1m...,,,,,,,,,,False
36 Oph C,A,36,106,V2215,156026.0,84478.0,17h 16m 13.68s,−26° 32′ 36.3″,6.33,7.45,20.0,K5V,V2215 Oph; component of the 36 Oph system; RS CVn variable,A: K2VB: K1VC: K5V,5103.0 K,0.75 M☉,0.817 R☉,0.326 L☉,4.61 cgs,20.69 days,1.43 Gyr,False
32 Sco,,(32),125,,156992.0,84947.0,17h 21m 41.58s,−24° 54′ 21.6″,6.36,−0.11,643.0,K3III,,,,,,,,,,False
V2126 Oph,,,188,V2126,164258.0,88148.0,18h 00m 15.66s,+00° 37′ 46.2″,6.36,0.94,395.0,A3spe...,α² CVn variable,,,,,,,,,False
X Oph,,,,X,172171.0,91389.0,18h 38m 21.0s,+08° 50′ 02.0″,6.4,,,K0,Mira variable,M0-8e + K2:IIIM5e–M9e,2900.0 K,1.5 M☉,349.0 R☉,7420.0 L☉,,,,False
V2114 Oph,,,145,V2114,158228.0,85450.0,17h 27m 44.07s,+08° 26′ 31.7″,6.42,−0.59,823.0,M4III,,,,,,,,,,False
V2393 Oph,,,(50 Cau),V2393,171247.0,90971.0,18h 33m 23.30s,+08° 16′ 05.8″,6.42,−2.01,1583.0,B8IIIp SiSr:,50 G. Ser Cau in Ophiuchus; α² CVn variable,,,,,,,,,False
52 Oph,,52,154,V2125,159376.0,86060.0,17h 35m 18.50s,−22° 02′ 37.7″,6.47,−0.69,883.0,Ap Si,,,,,,,,,,False
ο Oph,ο,39,113,,156350.0,84625.0,17h 18m 00.64s,−24° 17′ 02.7″,6.59,0.75,481.0,G8/K0II,,G8III,4849.0 K,,12.3 R☉,75.3 L☉,2.69 cgs,,,False
29 Sco,,(29),,,155685.0,84314.0,17h 14m 14.25s,−26° 59′ 03.9″,6.65,1.80,304.0,F2/F3V,,,,,,,,,,False
38 Oph,,38,,,156252.0,84605.0,17h 17m 39.53s,−26° 37′ 44.5″,6.81,1.17,438.0,B9.5V,,,,,,,,,,False
18 Oph,,18,47,,151659.0,,16h 49m 44.40s,−24° 38′ 24.0″,7.1,,,A1m...,,,,,,,,,,False
Barnard's Star,,,,V2500,,87937.0,17h 57m 48.50s,+04° 41′ 36.2″,9.54,13.24,5.94,M4Ve,2nd nearest star system; V2500 Oph,M4.0V,3195.0 K,0.162 M☉,0.187 R☉,0.0034 L☉,4.9 cgs,114.06 days,10.0 Gyr,False
Wolf 1061,,,,V2306,,80824.0,16h 30m 18.06s,−12° 39′ 45.3″,10.12,11.97,13.91,M3.5,30th nearest star system; V2306 Oph,M3.5V,3307.0 K,0.304 M☉,0.319 R☉,0.011 L☉,,95.0 d,,False
