Name,B,F,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
V340 And,,15,V340,221756.0,116354.0,23h 34m 37.55s,+40° 14′ 11.6″,5.55,1.28,233.0,A1III,"low-amplitude δ Sct variable, ΔV = 0.007m","A1 III,A1 Va,or kA1hA3mA0.5 Va+",9225.0 K,2.7 M☉,,27.0 L☉,3.9 cgs,105.0 km/s,130.0 Myr,False
PZ And,,63,PZ,14392.0,10944.0,02h 20m 58.17s,+50° 09′ 05.5″,5.57,0.38,356.0,B9p Si,"α2 CVn variable, ΔV = 0.05m, P = 4.189 d",B9VpSi,11967.0 K,3.07 M☉,2.4 R☉,110.0 L☉,4.29 cgs,4.189 days,,False
47 And,,47,,8374.0,6514.0,01h 23m 40.56s,+37° 42′ 54.0″,5.60,1.54,211.0,A1m,,A1m(kA1hF1mF2),7280.0 K,1.636 M☉,1.84 R☉,9.0 L☉,4.16 cgs,15.9 km/s,1.0 Gyr,False
44 And,,44,,6920.0,5493.0,01h 10m 18.85s,+42° 04′ 53.7″,5.67,2.06,172.0,F8V,,F8 V,6028.0 K,1.64 M☉,3.58 R☉,12.9 L☉,3.78 cgs,15.2 d,2.59 Gyr,False
5 And,,5,,218470.0,114210.0,23h 07m 45.25s,+49° 17′ 43.6″,5.68,3.02,111.0,F5V,,F5 V,6605.0 K,1.386 M☉,1.741 R☉,5.62 L☉,4.12 cgs,9.7 km/s,2.28 Gyr,False
56 And,,56,,11749.0,9021.0,01h 56m 09.23s,+37° 15′ 06.5″,5.69,0.73,320.0,G8III...,multiple star,K0 III,4765.0 K,1.34 M☉,11.0 R☉,56.2 L☉,2.58 cgs,0.0 km/s,3.16 Gyr,False
23 And,,23,,905.0,1086.0,00h 13m 30.94s,+41° 02′ 08.6″,5.71,2.99,114.0,F0IV,,F0 IV,7089.0 K,1.43 M☉,,49.9 L☉,4.25 cgs,36.0 km/s,759.0 Myr,False
V388 And,,13,V388,220885.0,115755.0,23h 27m 07.33s,+42° 54′ 43.1″,5.75,0.97,294.0,B9III,"α2 CVn variable, Vmax = 5.73m, Vmin = 5.77m, P = 1.47931 d",B9 III or B9 Mn,,,,42.89 L☉,,75.0 km/s,345.0 Myr,False
12 And,,12,,220117.0,115280.0,23h 20m 53.17s,+38° 10′ 56.9″,5.77,2.63,138.0,F5V,triple star,F5 V,6454.0 K,1.25 M☉,,7.38 L☉,3.92 cgs,12.0 km/s,2.548 Gyr,False
45 And,,45,,7019.0,5550.0,01h 11m 10.29s,+37° 43′ 26.9″,5.80,−1.44,916.0,B7III-IV,double star,B7 III-IV,12874.0 K,,5.2 R☉,413.92 L☉,,60.0 km/s,,False
10 And,,10,,219981.0,115191.0,23h 19m 52.38s,+42° 04′ 40.9″,5.81,−0.30,542.0,M0III,,M0 III,,,33.0 R☉,258.78 L☉,,,,False
OU And,,,OU,223460.0,117503.0,23h 49m 40.96s,+36° 25′ 31.4″,5.86,0.21,440.0,G1IIIe,"FK Com variable, ΔV = 0.07m, P = 24.2 d",G1 IIIe,5360.0 K,2.85 M☉,9.46 R☉,71.2 L☉,2.8 cgs,24.3 days,346.0 Myr,False
KK And,,,KK,9531.0,7321.0,01h 34m 16.60s,+37° 14′ 13.9″,5.90,0.50,392.0,B8Vp(Si),"α2 CVn variable, ΔV = 0.012m, P = 0.6684 d",B9 IV,11729.0 K,3.07 M☉,2.7 R☉,91.0 L☉,3.914 cgs,0.67 days,225.0 Myr,False
6 And,,6,,218804.0,114430.0,23h 10m 27.36s,+43° 32′ 41.1″,5.91,3.65,112.0,F5V,Astrometric binary,F5 V,6425.0 K,1.3 M☉,1.5 R☉,3.09 L☉,4.09 cgs,18.0 km/s,2.91 Gyr,False
39 And,,39,,6116.0,4903.0,01h 02m 54.28s,+41° 20′ 42.7″,5.95,0.84,344.0,A5m,double star,kA3hA7VmA9,8073.0 K,,1.2 R☉,39.95 L☉,3.93 cgs,34.0 km/s,,False
AN And,,9,AN,219815.0,115065.0,23h 18m 23.33s,+41° 46′ 25.3″,5.98,0.17,472.0,A7m,"β Lyr variable, Vmax = 5.96m, Vmin = 6.11m, P = 3.21952 d",A7 Vor A7m,8200.0 K,2.48 M☉,3.51 R☉,49.2 L☉,,81.0 km/s,,False
V439 And,,,V439,166.0,544.0,00h 06m 36.53s,+29° 01′ 19.0″,6.07,5.39,45.0,K0V,"BY Draconis variable, ΔV = 0.04m, P = 6.23 d",K0Ve,5509.0 K,0.889 M☉,0.9172 R☉,0.6078 L☉,4.49 cgs,6.23 days,78.0 Myr,False
59 And A,,59,,13294.0,10176.0,02h 10m 52.83s,+39° 02′ 22.5″,6.09,1.56,263.0,B9V,binary star,B9 V,10870.0 K,2.23 M☉,2.73 R☉,83.97 L☉,,176.0 km/s,,False
26 And,,26,,1438.0,1501.0,00h 18m 42.15s,+43° 47′ 28.1″,6.10,−0.53,692.0,B8V,double star,B8 V+ F3 V,11939.0 K,3.54 M☉,3.76 R☉,219.0 L☉,3.82 cgs,18.0 km/s,95.0 Myr,False
GO And,,,GO,4778.0,3919.0,00h 50m 18.21s,+45° 00′ 08.1″,6.13,1.34,296.0,A0p...,"α2 CVn variable, ΔV = 0.04m, P = 2.5481 d",A3VpSiSrCrEuKsn,9135.0 K,2.24 M☉,2.36 R☉,34.9 L☉,4.12 cgs,2.5616 days,77.0 Myr,False
66 And,,66,,15138.0,11465.0,02h 27m 51.75s,+50° 34′ 12.7″,6.16,2.54,173.0,F4V,spectroscopic binary,F4 V,6627.0 K,1.38 M☉,1.7 R☉,4.9 L☉,4.21 cgs,4.2 km/s,1.273 Gyr,False
OP And,,,OP,9746.0,7493.0,01h 36m 27.21s,+48° 43′ 22.2″,6.20,0.65,420.0,K1III:,"BY Dra variable, ΔV = 0.09m",K1III,4490.0 K,3.0 M☉,16.1 R☉,128.825 L☉,2.14 cgs,7.2 km/s,,False
CG And,,,CG,224801.0,63.0,00h 00m 43.62s,+45° 15′ 12.0″,6.36,−0.23,678.0,B9p SiEu,"α2 CVn variable, Vmax = 6.32m, Vmin = 6.42m, P = 3.73975 d",A0IIspSiSrHg,11900.0 K,3.4 M☉,2.8 R☉,170.0 L☉,4.12 cgs,3.74 days,239.0 Myr,False
LN And,,,LN,217811.0,113802.0,23h 02m 45.15s,+44° 03′ 31.6″,6.37,−1.42,1177.0,B2V,double star; not variable despite designation,B2V,18090.0 K,6.5 M☉,3.1 R☉,608.0 L☉,3.94 cgs,8.0 km/s,9.5 Myr,False
V385 And,,,V385,220524.0,115530.0,23h 24m 08.88s,+41° 36′ 46.3″,6.37,−1.55,1249.0,M0,"irregular variable, Vmax = 6.36m, Vmin = 6.47m",M0,3563.0 K,,113.0 R☉,1843.0 L☉,,,,False
GY And,,,GY,9996.0,7651.0,01h 38m 31.84s,+45° 23′ 58.9″,6.38,0.66,455.0,B9Vp (Cr-Eu),"Promethium lines; α2 CVn variable, Vmax = 6.27m, Vmin = 6.44m, P = 8000 d",B9 pe,10723.0 K,2.47 M☉,2.6 R☉,52.0 L☉,4.01 cgs,31.0 km/s,,False
V529 And,,,V529,8801.0,6794.0,01h 27m 26.67s,+41° 06′ 04.0″,6.42,2.69,182.0,Am...,"δ Scuti variable, ΔV = 0.03m, P = 0.40331 d",Am(kA5/hF1/mF2),7560.0 K,1.55 M☉,1.7 R☉,6.5 L☉,4.1 cgs,53.1 km/s,727.0 Myr,False
ET And,,,ET,219749.0,115036.0,23h 17m 55.99s,+45° 29′ 20.2″,6.48,0.36,545.0,B9Vp(Si),"α2 CVn variable, ΔV = 0.03m, P = 1.61888 d",A0 Vp SiSror B9p SI,11444.0 K,3.25 M☉,2.7 R☉,91.06 L☉,3.81 cgs,1.62 d,284.0 Myr,False
PY And,,,PY,3322.0,2865.0,00h 36m 20.00s,+27° 15′ 17″,6.50,-0.16,701.0,B8IIImnp...,"α2 CVn variable, ΔV = ~0.03m",B8.5 IIIp HgMn,12882.0 K,3.68 M☉,4.8 R☉,246.0 L☉,3.821 cgs,14.0 km/s,,False
59 And B,,59,,13295.0,10180.0,02h 10m 53.67s,+39° 02′ 36.0″,6.82,−1.76,1698.0,A1Vn,component of the 59 And system,B9 V,10870.0 K,2.23 M☉,2.73 R☉,83.97 L☉,,176.0 km/s,,False
R And,,,R,1967.0,1901.0,00h 24m 01.95s,+38° 34′ 37.3″,7.39,-5.19,790.0,S6.5IIIeZr6Ti2,"Mira variable, Vmax = 5.8m, Vmin = 15.2m, P = 409.2 d","S3,5e-S8,8e(M7e)",2500.0 K,3.7 M☉,493.0 R☉,6300.0 L☉,1.02 cgs,,,False
RW And,,,RW,4489.0,,00h 47m 18.92s,+32° 41′ 08.6″,7.9,-0.52,1375.0,"M5e-M10e(S6,2e)","Mira variable, Vmax = 7.9m, Vmin = 15.7m, P = 430 d",,,,,,,,,False
RU And,,,RU,,,01h 38m 37s,38° 40′ 12″,9.9,,,M5e-M6e,"a variable star in the constellation of Andromeda. It is classified as a semiregular variable pulsating giant star, and varies from an apparent visual magnitude of 14.5 at minimum brightness to a magnitude of 9.9 at maximum brightness, with a period of approximately 238.3 days.",,,,,,,,,False
Z And,,,Z,221650.0,116287.0,23h 33m 39.95s,+48° 49′ 05.9″,10.53,2.38,1393.0,M2III + B1eq,"prototype of Z And variables, Vmax = 7.7m, Vmin = 11.3m",M2III + B1eq,3400.0 K,2.0 M☉,85.0 R☉,880.0 L☉,,1682.6 s,,False
S And,,,S,,,00h 42m 43.11s,+41° 16′ 04.2″,,,2600000.0,Ia,"SN 1885A; BD+40°147a; type Ia supernova in the Andromeda Galaxy, Vmax = 5.8m, Vmin = < 16m",,,,,,,,,False
