Name,B,F,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
χ Cap,χ,25.0,,201184.0,104365.0,21h 08m 33.61s,−21° 11′ 36.7″,5.3,1.46,191.0,A0V,,A0 V,10878.0 K,2.78 M☉,,21.0 L☉,4.33 cgs,212.0 km/s,251.0 Myr,False
29 Cap,,29.0,,202369.0,104974.0,21h 15m 44.83s,−15° 10′ 17.4″,5.31,−1.11,628.0,M2III,semiregular variable,,,,,,,,,False
33 Cap,,33.0,,203638.0,105665.0,21h 24m 09.60s,−20° 51′ 05.6″,5.38,1.16,228.0,K0III,"suspected variable, Vmax = 5.35m, Vmin = 5.77m",,,,,,,,,False
30 Cap,,30.0,,202671.0,105143.0,21h 17m 57.28s,−17° 59′ 06.5″,5.4,−0.85,579.0,B5II/III,α2 CVn variable,,,,,,,,,False
λ Cap,λ,48.0,,207052.0,107517.0,21h 46m 32.08s,−11° 21′ 57.4″,5.57,0.80,294.0,A1V,,A1 V,10247.0 K,2.5 M☉,2.21 R☉,48.89 L☉,3.99 cgs,192.5 km/s,271.0 Myr,False
37 Cap,,37.0,,205289.0,106559.0,21h 34m 51.07s,−20° 05′ 03.8″,5.7,3.53,88.0,F5V,,,,,,,,,,False
19 Cap,,19.0,,199012.0,103226.0,20h 54m 47.85s,−17° 55′ 22.3″,5.78,0.36,395.0,K0III,"On 26 February 2008, it was occulted by Venus as viewed from East Australia, New Zealand, part of Antarctica.",,,,,,,,,False
35 Cap,,35.0,,204139.0,105928.0,21h 27m 14.83s,−21° 11′ 46.1″,5.78,0.02,462.0,K3III,,,,,,,,,,False
ξ2 Cap,ξ2,2.0,,191862.0,99572.0,20h 12m 25.76s,−12° 37′ 01.3″,5.84,3.60,91.0,F5V,,F7 V Fe−0.5,6411.0 K,1.2 M☉,,,4.25 cgs,11.0 km/s,3.04 Gyr,False
4 Cap,,4.0,,192879.0,100062.0,20h 18m 01.38s,−21° 48′ 35.6″,5.86,0.76,341.0,G8III,,,,,,,,,,False
44 Cap,,44.0,,206561.0,107232.0,21h 43m 04.40s,−14° 23′ 59.1″,5.88,0.39,409.0,A9/F0V,"On 2 April 2021, it was occulted by Jupiter as viewed from Western North America, South America, Antarctica.",,,,,,,,,False
17 Cap,,17.0,,197725.0,102487.0,20h 46m 09.97s,−21° 30′ 50.4″,5.91,1.32,270.0,A1V,,,,,,,,,,False
ο Cap A,ο,12.0,,195094.0,101123.0,20h 29m 53.89s,−18° 34′ 58.7″,5.94,1.62,239.0,A1V,binary star,A1 V,10492.0 K,2.05 M☉,,18.6 L☉,4.23 cgs,276.0 km/s,118.0 Myr,False
45 Cap,,45.0,,206677.0,107302.0,21h 44m 00.98s,−14° 44′ 57.8″,5.96,2.36,171.0,A7IV/V,"On 3 August 2009, it was occulted by Jupiter.",,,,,,,,,False
47 Cap,,47.0,AG,207005.0,107487.0,21h 46m 16.26s,−09° 16′ 33.4″,6.0,−1.89,1235.0,M3III,"semiregular variable, Vmax = 5.9m, Vmin = 6.14m, P = 25 d",M2III,3784.0 K,,102.0 R☉,1940.0 L☉,,,,False
BW Cap,,,BW,208735.0,108494.0,21h 58m 43.78s,−21° 10′ 58.5″,6.06,−3.64,2835.0,M2III,slow irregular variable,,,,,,,,,False
21 Cap,,21.0,,199947.0,103703.0,21h 00m 51.78s,−17° 31′ 51.1″,6.07,−0.05,545.0,K3III,,,,,,,,,,False
β2 Cap,β2,,,193452.0,100325.0,20h 20m 46.52s,−14° 47′ 05.6″,6.09,1.18,328.0,B9.5III/IV,component of the β Cap system,K0II+B8V/A0III,4900.0 K,4.0 M☉,35.0 R☉,600.0 L☉,,,,False
HD 191110,,,AV,191110.0,99221.0,20h 08m 31.27s,−10° 03′ 45.0″,6.18,0.15,524.0,B9.5III,α2 CVn variable,,,,,,,,,False
27 Cap,,27.0,,201352.0,104452.0,21h 09m 32.93s,−20° 33′ 22.8″,6.25,2.59,176.0,F2IV/V,,,,,,,,,,False
20 Cap,,20.0,AO,199728.0,103616.0,20h 59m 36.13s,−19° 02′ 06.8″,6.26,0.66,430.0,Ap Si,"α2 CVn variable, Vmax = 6.25m, Vmin = 6.30m, P = 2.2411 d",,,,,,,,,False
3 Cap,,3.0,,192666.0,99918.0,20h 16m 22.80s,−12° 20′ 13.5″,6.3,0.26,527.0,B9IV,,,,,,,,,,False
ξ1 Cap,ξ1,1.0,,191753.0,99529.0,20h 11m 57.90s,−12° 23′ 32.5″,6.34,0.49,483.0,K0III,,K0 III,4439.0 K,1.55 M☉,18.88 R☉,139.0 L☉,,,3.35 Gyr,False
