Name,B,F,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
υ1 Cas,υ1,26.0,,5234.0,4292.0,00h 55m 00.19s,+58° 58′ 22.1″,4.83,−0.65,406.0,K2III,,K2 III,4422.0 K,1.39 M☉,21.0 R☉,174.0 L☉,1.76 cgs,1.1 km/s,4.75 Gyr,False
1 Cas,,1.0,,218376.0,114104.0,23h 06m 36.81s,+59° 25′ 11.2″,4.84,−2.81,1105.0,B0.5IV,,B0.5 III,27200.0 K,13.1 M☉,10.2 R☉,18200.0 L☉,3.98 cgs,31.0 km/s,5.7 Myr,False
τ Cas,τ,5.0,,223165.0,117301.0,23h 47m 03.39s,+58° 39′ 06.7″,4.88,1.26,173.0,K1III,,K1 IIIa,4617.0 K,1.44 M☉,10.0 R☉,40.0 L☉,2.5 cgs,5.9 km/s,3.9 Gyr,False
σ Cas,σ,8.0,,224572.0,118243.0,23h 59m 00.53s,+55° 45′ 17.8″,4.88,−3.47,1523.0,B1V...,,B2 IV,21000.0 K,12.0 M☉,11.3 R☉,25000.0 L☉,3.6 cgs,170.0 km/s,15.8 Myr,False
AR Cas,,,AR,221253.0,115990.0,23h 30m 01.92s,+58° 32′ 56.1″,4.89,−1.34,575.0,B3IV,"septuple star; Algol variable, Vmax = 4.82m, Vmin = 4.96m, P = 6.07 d",B4 V + A6 V,17200.0 K,5.9 M☉,5.05 R☉,,3.8 cgs,,,False
ν Cas,ν,25.0,,4636.0,3801.0,00h 48m 49.99s,+50° 58′ 05.5″,4.9,−0.49,389.0,B9III,,B9 IIIor B8 V,13268.0 K,3.6 M☉,2.8 R☉,194.0 L☉,4.026 cgs,134.0 km/s,,False
π Cas,π,20.0,,4058.0,3414.0,00h 43m 28.09s,+47° 01′ 28.7″,4.95,1.31,174.0,A5V,rotating ellipsoidal variable,A5V+ A5V,8392.0 K,1.82 M☉,1.9 R☉,22.0 L☉,4.41 cgs,60.0 km/s,251.0 Myr,False
φ Cas,φ,34.0,,7927.0,6242.0,01h 20m 04.92s,+58° 13′ 53.8″,4.95,−4.32,2329.0,F0Ia,foreground star appearing among NGC 457; suspected variable,F0Ia,7341.0 K,17.0 M☉,263.0 R☉,170000.0 L☉,1.0 cgs,23.0 km/s,20.0 Myr,False
4 Cas,,4.0,,220652.0,115590.0,23h 24m 50.25s,+62° 16′ 58.2″,4.96,−1.91,771.0,M1III,"slow irregular variable, Vmax = 4.95m, Vmin = 5.00m",M2− IIIab,4000.0 K,2.3 M☉,78.0 R☉,1419.0 L☉,,,,False
ω Cas,ω,46.0,,11529.0,9009.0,01h 56m 00.00s,+68° 41′ 07.0″,4.97,−1.69,701.0,B8III,suspected variable,B5 III,12737.0 K,3.5 M☉,2.7 R☉,178.0 L☉,4.1 cgs,45.7 km/s,232.0 Myr,False
V509 Cas,,,V509,217476.0,113561.0,23h 00m 05.10s,+56° 56′ 43.4″,5.1,−6.77,7723.0,F80,"yellow hypergiant; semiregular variable, Vmax = 4.75m, Vmin = 5.5m",G4 0(K5Ia0 - A6Ia+),5300.0 K,19.6 M☉,511.0 R☉,240000400000.0 L☉,,,,False
μ Cas,μ,30.0,,6582.0,5336.0,01h 08m 12.92s,+54° 55′ 27.2″,5.17,5.78,25.0,G5VIp/M5V,Marfak; suspected variable,G5Vb+ M4V,5306.0 K,0.744 M☉,0.789 R☉,0.445 L☉,4.515 cgs,2.4 km/s,12.7 Gyr,False
