Name,B,F,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
UV Lyn,,,UV,,44455.0,09h 03m 24.12s,+38° 05′ 54.6″,9.56,,389.0,G0,"W UMa variable, Vmax = 9.42m, Vmin = 9.81m, P = 0.41 d",,,,,,,,,False
SW Lyn,,,SW,67008.0,39771.0,08h 07m 41.57s,+41° 48′ 01.7″,9.65,,1220.0,F1V,"Algol variable, Vmax = 9.51m, Vmin = 10.2m, P = 0.64 d",F2 V,7800.0 K,1.77 M☉,1.76 R☉,10.15 L☉,,,,False
AN Lyn,,,AN,,,09h 14m 28.69s,+42° 46′ 38.2″,10.58,,,A7IV/V,"δ Sct variable, Vmax = 10.58m, Vmin = 10.79m, P = 0.09 d",,,,,,,,,False
IRC +60169,,,AP,,,06h 34m 33.92s,+60° 56′ 26.2″,10.9,,,M9,"Mira variable, Vmax = 10.9m, Vmin = 14.7m",,,,,,,,,False
14 Lyn B,,14,,49619.0,,06h 53m 36.00s,+59° 24′ 25.0″,11.1,,,,component of 14 Lyn system,,,,,,,,,False
U Lyn,,,U,,,06h 40m 46.49s,+59° 52′ 01.6″,11.52,,,M7e,"Mira variable, Vmax = 8.8m, Vmin = 15m, P = 433.6 d",,,,,,,,,False
TV Lyn,,,TV,,36750.0,07h 33m 31.73s,+47° 48′ 09.8″,11.54,,,A6,"RR Lyr variable, Vmax = 11.24m, Vmin = 11.66m, P = 0.24 d",,,,,,,,,False
UU Lyn,,,UU,,,09h 15m 31.00s,+42° 42′ 12.0″,11.54,,,A4,"β Lyr variable, Vmax = 11.54m, Vmin = 12.33m, P = 0.47 d",,,,,,,,,False
BK Lyn,,,BK,,,09h 20m 11.20s,+33° 56′ 42.3″,14.49,,,CV,"ER UMa variable, Vmax = 14.3m, Vmin = 16.5m",,,,,,,,,False
BH Lyn,,,BH,,,08h 22m 36.05s,+51° 05′ 24.6″,,,,CV,nova-like star and eclipsing binary,,,,,,,,,False
PG 0859+415,,,BP,,,09h 03m 08.89s,+41° 17′ 47.7″,,,,CV,eclipsing binary and nova-like star,,,,,,,,,False
HS 0702+6043,,,DW,,,07h 07m 09.81s,+60° 38′ 50.1″,,,,sdB,prototype DW Lyn variable,,,,,,,,,False
