Name,B,F,G.,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
CY Boo,,,,CY,125180.0,69829.0,14h 17m 28.44s,+15° 15′ 48.1″,5.84,−1.62,1012.0,M3III,"= 101 Vir; semiregular variable, Vmax = 5.74m, Vmin = 5.90m, P = 23 d",M3IIIa,3682.0 K,1.2 M☉,76.78 R☉,1078.0 L☉,1.35 cgs,,,False
HP Boo,,,,HP,130948.0,72567.0,14h 50m 15.72s,+23° 54′ 42.4″,5.86,4.59,58.0,G2V,"BY Draconis variable, ΔV = 0.03m, P = 7.85 d",F9 IV-V,5780.0 K,0.97 M☉,1.1 R☉,1.2 L☉,4.18 cgs,8.1,0.5 Gyr,False
π2 Boo,π2,29.0,,,129175.0,,14h 40m 43.90s,+16° 25′ 04.0″,5.88,,,,component of the π Boo system,B9 IIIp (MnHgSi) + A6 V,12052.0 K,3.49 M☉,3.2 R☉,214.0 L☉,3.99 cgs,14.0 km/s,,False
26 Boo,,26.0,,,127739.0,71115.0,14h 32m 32.62s,+22° 15′ 35.9″,5.91,2.35,168.0,F2IV,,F2 IV,6826.0 K,1.46 M☉,2.43 R☉,11.553 L☉,3.93 cgs,55.8 km/s,1.557 Gyr,False
3 Boo,,3.0,,,120064.0,67239.0,13h 46m 43.33s,+25° 42′ 08.6″,5.97,1.36,272.0,F6IV-V,,kA9hF6mF6(A7 V: + G5 III:orF2p + G0 IV),5848.0 K,1.8 M☉,3.7 R☉,,,,1.5 Gyr,False
CN Boo,,,,CN,124953.0,,14h 16m 04.20s,+18° 54′ 43.0″,5.98,,,A8III,"δ Sct variable, ΔV = 0.03m, P = 0.04 d",A8V,7388.0 K,1.552 M☉,1.603 R☉,6.8 L☉,4.38 cgs,82.0 km/s,,False
DE Boo,,,,DE,131511.0,72848.0,14h 53m 24.04s,+19° 09′ 08.2″,6.00,5.69,38.0,K2V,"RS CVn variable, Vmax = 5.97m, Vmin = 6.04m, P = 10.39 d",K0 V,5313.0 K,0.84 M☉,0.87 R☉,0.498 L☉,4.57 cgs,10.4,1.3 Gyr,False
11 Boo,,11.0,,,122405.0,68478.0,14h 01m 10.53s,+27° 23′ 11.6″,6.23,1.14,340.0,A7III,,A7 III,7997.0 K,1.94 M☉,2.4627 R☉,63.63 L☉,3.93 cgs,123.0 km/s,914.0 Myr,False
BX Boo,,,,BX,133029.0,73454.0,15h 00m 38.73s,+47° 16′ 38.7″,6.35,0.53,477.0,B9p SiSrCr,"α2 CVn variable, Vmax = 6.33m, Vmin = 6.41m, P = 2.88813 d",A0 Vsp SiSrCrorB9 Vp SiCrSr,9164.0 K,2.7 M☉,2.51 R☉,72.4 L☉,4.5 cgs,2.88756 d,235.0 Myr,False
RX Boo,,,,RX,126327.0,70401.0,14h 24m 11.63s,+25° 42′ 13.4″,6.43,,500.0,M7.5e,"semiregular variable, Vmax = 6.43m, Vmin = 9.1m",M7.5e,2750.0 K,2.2 M☉,270.0 R☉,3630.0 L☉,1.94 cgs,,,False
CI Boo,,,,CI,126009.0,70236.0,14h 22m 14.03s,+29° 22′ 11.9″,6.50,−0.19,709.0,MIII,"irregular variable, Vmax = 6.23m, Vmin = 6.57m",M3III,3227.0 K,1.8 M☉,71.0 R☉,943.0 L☉,,,1.6 Gyr,False
μ2 Boo,μ2,51.0,,,137392.0,75415.0,15h 24m 30.97s,+37° 20′ 49.5″,6.51,3.65,122.0,G1V,component of the μ Boo system,F9V + G0V,6000.0 K,1.24 M☉,1.23 R☉,1.75 L☉,4.3 cgs,5.0 km/s,5.6 Gyr,False
κ1 Boo,κ1,17.0,,,124674.0,69481.0,14h 13m 27.75s,+51° 47′ 16.4″,6.62,2.73,196.0,F1V,component of the κ Boo system,F2V,6744.0 K,1.4 M☉,1.43 R☉,3.801 L☉,4.32 cgs,38.0 km/s,900.0 Myr,False
R Boo,,,,R,128609.0,71490.0,14h 37m 11.70s,+26° 44′ 10.0″,11.70,3.16,1664.0,M4e,"Mira variable, Vmax = 6.0m, Vmin = 13.3m, P = 223.11 d",M4-8e,3061.0 K,1.492 M☉,268.0 R☉,4255.0 L☉,0.25 cgs,,,False
CR Boo,,,,CR,,,13h 48m 55.22s,+07° 57′ 35.7″,15.00,,1150.0,,AM CVn variable,,,0.8 M☉,0.012 R☉,,,,,False
